0,0,0
1,2,2
1,5,4
2,7,5
3,9,7
3,12,9
4,14,11
5,16,13
5,19,14
6,21,16
7,23,18
8,25,20
8,28,21
9,30,23
10,32,25
10,35,27
11,37,29
12,39,30
12,42,32
13,44,34
14,45,35
15,46,36
17,47,37
18,47,38
19,48,39
20,49,40
21,50,41
22,51,42
24,52,43
25,52,44
26,53,45
27,54,46
28,55,47
29,56,48
31,57,49
32,57,50
33,58,51
34,59,52
36,60,53
37,61,55
39,62,56
40,63,57
42,64,59
43,65,60
45,66,61
46,67,63
48,68,64
49,69,65
51,70,67
52,71,68
54,72,69
55,73,71
57,74,72
58,75,73
60,76,75
61,77,76
62,78,77
63,79,78
64,80,79
65,81,79
65,81,80
66,82,81
67,83,82
68,84,83
69,85,84
70,86,84
71,87,85
72,88,86
73,89,87
73,89,88
74,90,89
75,91,89
76,92,90
77,93,91
78,94,92
79,95,93
79,97,94
80,98,95
81,99,95
82,100,96
82,102,97
83,103,98
84,104,99
85,105,100
86,106,101
86,108,102
87,109,103
88,110,103
89,111,104
89,113,105
90,114,106
91,115,107
92,117,109
94,119,110
95,121,112
97,123,113
98,125,115
99,127,116
101,129,118
102,131,119
104,133,121
105,134,123
106,136,124
108,138,126
109,140,127
110,142,129
112,144,130
113,146,132
115,148,133
116,150,135
117,152,136
118,153,137
119,155,139
120,156,140
121,158,141
122,159,142
123,161,144
124,162,145
125,164,146
125,165,147
126,167,148
127,168,150
128,170,151
129,171,152
130,173,153
131,174,155
132,176,156
133,177,157
134,178,159
135,179,160
135,181,162
136,182,163
137,183,165
138,184,167
138,186,168
139,187,170
140,188,172
141,189,173
142,190,175
142,192,176
143,193,178
144,194,180
145,195,181
145,197,183
146,198,184
147,199,186
149,201,189
150,202,193
152,204,196
153,206,200
155,207,203
157,209,207
158,211,210
160,212,214
162,214,217
163,216,220
165,217,224
166,219,227
168,221,231
170,222,234
171,224,238
173,226,241
174,227,245
176,229,248
178,233,255
180,236,262
182,240,268
183,243,275
185,247,282
187,251,289
189,254,295
191,258,302
193,262,309
194,265,316
196,269,323
198,272,329
200,276,336
202,280,343
204,283,350
205,287,356
207,290,363
209,294,370
212,299,378
214,304,385
217,309,393
219,313,400
222,318,408
224,323,416
227,328,423
229,333,431
232,338,439
234,342,446
237,347,454
239,352,461
242,357,469
244,362,477
247,367,484
249,371,492
252,376,499
254,381,507
257,385,515
259,390,522
262,394,530
264,398,537
267,402,545
269,407,553
272,411,560
274,415,568
277,420,576
280,424,583
282,428,591
285,432,598
287,437,606
290,441,614
292,445,621
295,449,629
297,454,636
300,458,644
302,465,650
304,473,657
306,480,663
308,488,669
310,495,675
312,503,682
314,510,688
316,518,694
319,525,701
321,532,707
323,540,713
325,547,719
327,555,726
329,562,732
331,570,738
333,577,744
335,585,751
337,592,757
339,595,761
340,598,765
342,601,770
344,605,774
346,608,778
347,611,782
349,614,786
351,617,791
352,620,795
354,624,799
356,627,803
357,630,807
359,633,812
361,636,816
363,639,820
364,642,824
366,646,828
368,649,833
369,652,837
371,655,841
