0,0,0
0,3,5
0,3,10
1,6,15
2,6,20
3,9,25
4,9,30
5,12,30
6,15,30
7,18,31
8,21,31
9,24,31
9,27,31
10,30,31
10,33,31
11,36,32
11,39,33
12,39,33
12,42,33
13,43,33
13,45,34
14,46,35
14,46,36
15,48,37
15,48,38
16,49,38
16,49,40
17,51,40
17,51,40
18,52,41
19,52,42
20,53,42
21,53,43
21,54,43
22,54,44
26,54,46
28,55,46
34,55,46
38,56,47
41,56,47
42,57,48
44,58,49
45,59,49
45,60,50
47,60,51
48,61,51
49,62,54
49,62,54
50,62,54
52,63,55
53,63,56
54,64,57
54,66,58
56,67,60
57,68,60
58,69,60
59,69,61
61,71,63
62,74,63
63,75,63
63,77,66
64,77,67
66,77,67
67,78,70
68,80,71
69,83,71
72,84,76
73,84,77
74,86,78
75,87,80
75,87,82
77,89,84
78,90,85
80,90,88
81,93,89
81,94,90
84,96,91
85,96,91
85,99,95
86,100,96
86,100,98
86,101,98
88,101,99
89,102,99
89,104,101
89,104,101
90,106,101
90,106,102
92,107,104
93,109,105
93,109,105
95,112,105
95,114,107
95,114,109
96,116,111
97,118,111
98,120,114
101,125,116
102,125,118
103,130,118
105,130,120
105,132,121
108,135,121
109,138,123
109,138,126
109,141,128
112,143,131
112,143,133
114,143,133
114,146,133
117,149,135
117,151,136
119,151,136
121,151,137
122,154,137
122,156,139
122,156,141
126,161,142
127,165,145
130,167,145
130,169,147
131,169,147
131,172,149
133,174,152
135,177,152
135,177,152
135,179,158
135,181,159
137,184,162
138,184,163
138,184,166
139,187,167
141,187,171
141,193,171
141,193,171
141,193,173
142,195,176
142,195,176
142,200,178
143,200,181
147,201,181
147,201,184
147,202,184
147,202,184
147,204,188
147,205,191
148,205,191
150,207,199
152,207,199
154,209,201
155,212,201
155,215,206
158,218,210
158,218,213
159,218,218
159,222,221
162,222,224
166,223,233
169,223,236
169,223,239
169,227,245
172,231,252
174,231,252
177,235,258
177,235,264
181,245,267
181,251,280
181,254,287
185,254,294
185,254,300
189,260,307
189,263,310
189,263,313
193,270,326
193,270,329
197,277,332
197,277,339
202,280,348
206,284,354
206,292,360
210,300,382
210,304,382
212,304,395
212,308,413
216,317,423
221,322,423
225,322,443
225,331,452
233,336,452
233,341,462
235,356,467
235,356,472
235,356,482
240,361,487
245,366,492
245,377,492
245,377,497
248,382,502
251,382,507
253,387,512
253,387,517
253,393,522
256,403,532
259,403,532
267,403,542
267,408,557
270,413,567
273,413,577
276,413,582
279,418,592
279,423,592
279,423,602
288,433,612
288,438,617
295,443,627
295,448,627
295,458,637
298,458,647
298,463,657
304,474,657
304,485,667
304,485,677
307,491,687
313,503,687
316,522,697
316,522,697
319,522,707
322,541,717
322,555,717
325,555,727
325,562,727
328,562,737
331,576,737
331,576,747
334,576,757
334,592,757
337,592,767
340,609,767
340,609,777
343,609,777
343,627,787
346,627,797
346,627,797
349,627,807
349,627,807
352,627,817
352,637,817
355,637,827
355,637,827
358,637,827
358,646,837
361,667,847
361,667,847
361,667,847
364,667,837
364,646,837
