0,0,0
1,2,1
3,3,3
4,5,4
6,6,6
7,8,7
8,9,8
10,11,10
11,12,11
12,14,12
14,15,13
15,17,15
16,18,16
17,20,17
19,21,18
20,22,19
21,24,21
22,25,22
23,26,23
24,28,24
25,29,25
26,30,26
27,32,27
28,33,28
29,34,29
30,35,30
31,36,31
32,37,32
33,38,33
33,39,34
34,41,35
35,42,36
36,43,37
37,44,38
38,45,38
39,46,39
40,47,40
41,48,41
42,49,42
43,50,43
44,51,43
45,52,44
47,53,45
48,54,45
49,55,46
50,56,46
52,57,47
53,58,47
54,59,48
56,60,49
57,61,49
58,62,50
59,63,51
61,64,52
62,66,53
63,67,54
64,68,55
66,69,56
67,71,57
68,72,58
69,74,60
71,75,61
72,77,63
73,78,64
74,80,66
75,81,67
77,83,69
78,84,70
79,86,71
80,87,73
81,89,74
83,90,76
84,92,77
85,93,78
86,94,79
87,96,80
88,97,81
89,98,82
90,99,83
90,100,84
91,101,85
92,102,86
93,103,87
94,104,88
95,106,89
96,107,89
96,108,90
97,109,91
98,111,92
100,112,94
101,114,95
102,116,96
103,118,98
105,120,99
106,122,101
108,125,102
109,127,104
111,130,105
112,132,107
114,135,109
116,138,111
117,141,113
119,143,114
121,146,116
122,149,118
124,151,120
126,154,121
127,156,123
129,159,125
130,161,126
131,163,128
133,165,130
134,167,131
135,169,133
137,172,134
138,174,135
139,175,135
140,177,136
141,179,136
141,180,136
141,181,137
142,181,139
143,184,141
145,184,142
147,187,144
148,187,145
150,190,147
150,193,149
152,193,150
152,195,152
154,197,153
154,199,158
155,200,159
156,201,160
156,201,161
157,202,162
158,203,163
158,204,165
159,204,166
160,205,167
161,206,168
162,207,169
162,208,171
164,209,172
165,211,173
166,212,175
167,213,176
169,215,178
170,217,180
172,218,181
174,220,183
176,222,184
177,223,186
179,225,188
181,227,191
183,229,195
185,231,199
187,233,203
189,235,208
191,238,213
193,240,218
195,242,224
197,245,230
200,248,236
202,251,242
204,254,248
206,257,255
208,260,261
210,263,267
212,266,274
214,270,280
216,273,287
219,277,294
221,280,300
223,284,307
225,288,313
228,292,320
230,296,326
233,300,332
235,304,339
237,308,345
240,313,351
243,317,357
245,322,364
248,326,371
251,331,378
253,336,386
256,341,395
259,346,404
262,351,413
264,356,423
267,361,428
270,366,433
273,372,438
276,377,443
279,382,448
282,387,452
285,393,457
288,398,462
291,403,467
295,408,472
298,413,477
301,418,482
304,423,487
307,428,491
310,433,496
313,438,501
317,443,506
320,448,511
323,453,516
326,458,521
330,463,526
333,468,532
337,474,537
340,479,542
344,485,547
348,491,552
352,497,557
356,503,562
360,510,567
364,516,572
368,522,577
372,528,582
376,535,587
381,541,592
385,548,597
390,555,602
394,562,607
399,569,612
403,576,617
408,584,622
412,592,627
417,600,632
422,609,637
426,618,642
431,627,647
436,637,652
440,646,657
445,657,662
450,667,667
454,678,672
459,688,677
464,700,682
469,711,687
474,722,692
478,734,697
483,746,702
488,759,707
493,771,712
498,784,717
503,798,722
508,811,727
513,825,732
518,838,737
523,853,742
528,867,747
