Printer_Setting_Log,

Log_file_name,PLOG0001.CSV,
Image_file_name,D:\DCIM\100_FUJI\DSCF0001.JPG,
MODEL,FI019,
Serial_number,3310117352,
Firmware_version,1.06,
Log_profile,1.00,
Print_Time,2024/10/19 09:36:41,
PH_Vendar,TP,
PH_Serial_No,4156A231160856,
PH_TYPE,ELPH_TYPE_PP2,
BrightnessFTNM_R,28,
BrightnessFTNM_G,31,
BrightnessFTNM_B,42,
BrightnessTPREF1NM_R,9,
BrightnessTPREF1NM_G,7,
BrightnessTPREF1NM_B,4,
BrightnessTPREF2NM_R,155,
BrightnessTPREF2NM_G,116,
BrightnessTPREF2NM_B,104,
BrightnessFT3D_R,28,
BrightnessFT3D_G,32,
BrightnessFT3D_B,42,
BrightnessTPREF13D_R,7,
BrightnessTPREF13D_G,5,
BrightnessTPREF13D_B,3,
BrightnessTPREF23D_R,151,
BrightnessTPREF23D_G,118,
BrightnessTPREF23D_B,113,
Exposure_R,500 nsec,
Exposure_G,500 nsec,
Exposure_B,500 nsec,
temperature,22.0,
3DLUT_enable,ON,
3DLUT_information,2021/07/01 ref3,
Double_density,OFF,
Print_Brightness,x1.0,
result,No Film PI,

Printer_Parameter_Log,
motor_duty:pri_usb,100,
motor_duty:rej_usb,100,
motor_duty:pri,100,
motor_duty:rej,100,
LNC_F_enable,1,
LNC_UH_centerPos,155,
LNC_UH_width_HI,30,
LNC_UH_width_LO,50,
LNC_UH_effectValue,250,250,250,
LNC_UH_referOffsetLine,4,
LNC_UH_referMovAveCnt,3,
LNC_UH_lastMovAveCnt,3,
LNC_UH_LoCutCoef,128,128,0,
LNC_SH_CorrLimMin,-2,
LNC_SH_CorrLimMax,2,
LNC_F_corrRvs,0,
LNC_F_halfEf,0,
LNC_UH_effectDelay,0,

Shading_Data_(_Adjust_Area_data_),
R     ,G     ,B     ,
    42,     6,    20,
    75,    18,    21,
    63,    13,    18,
    31,    10,    26,
    49,     8,    19,
    74,    15,    14,
    54,     6,    11,
    25,     6,    20,
    56,     5,    12,
    74,    16,    17,
    46,     9,    18,
    27,     6,    19,
    65,    10,    17,
    74,    16,    16,
    37,     4,    15,
    29,     1,    15,
    74,    15,    17,
    73,    14,    16,
    30,     1,    17,
    36,     4,    20,
    72,    14,    17,
    63,     7,    11,
    24,     1,    15,
    46,     3,    13,
    74,    13,    13,
    57,     5,    10,
    25,     3,    14,
    55,     6,    13,
    81,    18,    19,
    54,     4,    12,
    28,     3,    17,
    61,     7,    10,
    74,    11,    12,
    44,     0,     9,
    35,     4,    17,
    69,    10,    13,
    76,    16,    16,
    40,     4,    16,
    40,     3,    17,
    75,    12,    13,
    70,    11,    13,
    37,     7,    19,
    51,     5,    15,
    81,    17,    19,
    63,     9,    13,
    34,     6,    19,
    61,     8,    15,
    83,    16,    15,
    59,     7,    11,
    33,     4,    15,
    67,     7,    11,
    80,    13,    12,
    47,     3,    10,
    32,     2,    12,
    72,    10,    11,
    81,    15,    14,
    43,     4,    13,
    40,     5,    15,
    74,    11,     9,
    74,    11,     9,
    39,     5,    17,
    44,     2,    12,
    83,    16,    13,
    75,    16,    17,
    41,    11,    23,
    58,    10,    16,
    87,    18,    16,
    68,    10,    12,
    38,     6,    14,
    63,     8,    11,
    87,    19,    17,
    59,     7,    13,
    42,     8,    18,
    73,    13,    14,
    84,    17,    13,
    54,     7,    13,
    45,     4,    11,
    80,    16,    14,
    80,    13,     9,
    49,     6,    14,
    51,     7,    13,
    85,    16,    13,
    75,    14,    13,
    44,     6,    12,
    56,     7,    12,
    84,    13,    11,
    66,     5,     3,
    39,     5,    11,
    67,     8,    12,
    87,    18,    15,
    63,    12,    14,
    39,     5,    12,
    73,     8,     8,
    85,    13,     8,
    57,    11,    16,
    49,    10,    19,
    78,    10,     8,
    86,    13,     7,
    50,     6,    14,
    50,     7,    14,
    89,    16,    13,
    85,    14,     9,
    47,     7,    14,
    51,     4,     9,
    88,    16,    11,
    74,    10,     9,
    43,     6,    11,
    61,     8,    11,
    86,    12,     6,
    67,     4,     3,
    44,     7,    13,
    68,     6,     5,
    88,    14,     8,
    60,     4,     6,
    54,    11,    18,
    78,    10,     9,
    89,    15,    10,
    57,     4,     6,
    54,     6,    15,
    86,    14,     8,
    86,    13,     7,
    54,     4,     7,
    56,     3,     7,
    85,     9,     2,
    75,     6,     0,
    52,     7,    11,
    68,     7,     8,
    95,    18,    11,
    79,    13,    11,
    55,     9,    13,
    78,     9,     7,
    95,    17,    10,
    71,    12,    11,
    59,    13,    18,
    87,    14,    12,
    96,    17,     9,
    67,    12,    10,
    60,    12,    16,
    89,    13,     8,
    91,    15,     8,
    59,     5,     6,
    62,     9,    12,
    92,    14,     6,
    89,    15,    10,
    59,    12,    16,
    64,     8,     9,
    95,    15,     7,
    82,    11,     6,
    56,    11,    14,
    70,     8,     5,
    93,    14,     4,
    75,    10,     6,
    58,    14,    17,
    77,    12,     9,
    96,    17,    10,
    70,     8,     8,
    57,     9,    12,
    81,    12,     8,
    93,    16,     9,
    63,     8,     9,
    61,     8,    10,
    92,    15,     6,
    90,    13,     3,
    62,     9,    12,
    67,    11,    12,
    93,    16,     7,
    81,    10,     1,
    61,    10,    12,
    72,     7,     5,
    95,    15,     6,
    79,    11,     4,
    57,     9,     9,
    76,     8,     6,
    95,    16,     7,
    70,     7,     1,
    58,     5,     5,
    86,    12,     6,
    99,    17,     9,
    69,     9,     8,
    59,     8,    10,
    90,    12,     2,
    92,    13,     1,
    61,     8,     7,
    61,     5,     4,
    97,    18,     7,
    91,    15,     5,
    63,     9,     9,
    72,    13,    11,
    99,    19,    10,
    88,    15,     8,
    63,    11,    10,
    73,    10,     5,
    99,    17,     7,
    78,     9,     0,
    66,    11,    12,
    85,    13,     9,
   101,    19,     8,
    75,    14,     9,
    67,    15,    13,
    85,    14,     5,
    97,    18,     8,
    72,    14,    12,
    73,    16,    16,
   103,    23,    11,
   100,    23,    10,
    72,    14,    13,
    73,    14,    14,
    97,    18,     5,
    89,    20,    10,
    66,    14,    14,
    79,    15,    12,
   101,    22,     9,
    84,    16,     4,
    69,    19,    17,
    86,    18,    11,
   101,    21,    10,
    80,    20,    14,
    73,    21,    21,
    93,    20,    12,
   105,    24,    12,
    76,    18,    12,
    69,    16,    12,
    99,    22,    10,
   102,    26,    11,
    80,    26,    21,
    83,    28,    24,
   112,    33,    21,
   106,    32,    20,
    83,    29,    24,
    86,    24,    15,
   112,    29,    17,
    99,    28,    17,
    82,    28,    26,
    90,    27,    19,
   109,    28,    16,
    89,    22,    13,
    79,    26,    23,
    92,    24,    14,
   108,    29,    14,
    86,    28,    21,
    81,    28,    23,
   101,    29,    15,
   109,    32,    18,
    88,    33,    31,
    83,    28,    23,
   107,    32,    19,
   105,    31,    16,
    81,    26,    21,
    86,    24,    19,
   114,    36,    24,
    99,    29,    16,
    81,    28,    23,
    90,    26,    17,
   110,    30,    15,
    89,    25,    13,
    83,    28,    24,
    98,    30,    19,
   116,    37,    24,
    91,    30,    19,
    86,    31,    26,
   106,    31,    19,
   114,    37,    22,
    91,    33,    27,
    89,    32,    28,
   115,    40,    27,
   114,    37,    23,
    91,    35,    30,
    91,    35,    30,
   117,    36,    21,
   106,    36,    20,
    86,    35,    29,
    88,    30,    21,
   113,    36,    21,
    99,    33,    20,
    87,    35,    32,
    97,    33,    21,
   116,    39,    24,
   100,    40,    29,
    89,    37,    31,
   106,    39,    26,
   120,    42,    27,
    96,    40,    34,
    93,    41,    38,
   109,    41,    27,
   112,    40,    24,
    90,    35,    30,
    91,    37,    35,
   115,    41,    26,
   109,    41,    29,
    92,    40,    36,
    94,    36,    28,
   115,    39,    26,
   102,    40,    27,
    93,    39,    34,
   103,    40,    28,
   122,    47,    34,
    99,    41,    28,
    94,    42,    36,
   109,    47,    33,
   120,    47,    32,
    92,    39,    27,
    88,    40,    35,
   111,    42,    25,
   116,    47,    29,
    90,    40,    31,
    89,    42,    32,
   118,    50,    32,
   111,    43,    23,
    92,    44,    36,
    92,    43,    32,
   117,    45,    28,
   106,    43,    27,
    89,    42,    33,
    96,    42,    28,
   117,    45,    24,
   102,    45,    27,
    92,    44,    34,
   104,    45,    28,
   117,    45,    23,
    98,    46,    31,
    89,    40,    30,
   110,    48,    29,
   124,    56,    33,
   102,    52,    37,
    97,    49,    37,
   115,    51,    26,
   117,    53,    28,
    97,    50,    37,
    99,    50,    38,
   120,    53,    28,
   113,    54,    31,
    96,    51,    36,
   104,    50,    34,
   122,    53,    30,
   107,    55,    34,
    96,    50,    36,
   107,    52,    32,
   119,    52,    29,
   101,    49,    29,
    94,    47,    32,
   114,    53,    31,
   123,    57,    33,
   105,    56,    39,
   103,    56,    42,
   121,    58,    34,
   121,    57,    31,
    99,    53,    34,
    97,    50,    34,
   121,    56,    30,
   113,    52,    26,
    97,    53,    37,
    98,    49,    29,
   117,    49,    22,
   104,    49,    25,
    98,    51,    35,
   107,    54,    30,
   118,    50,    23,
   101,    48,    25,
    95,    50,    34,
   102,    48,    21,
   113,    48,    18,
    92,    44,    24,
    92,    47,    29,
   110,    49,    22,
   113,    53,    21,
    90,    43,    23,
    93,    43,    23,
   111,    49,    20,
   103,    48,    18,
    90,    47,    25,
    92,    42,    18,
   116,    51,    21,
   100,    47,    18,
    56,     3,     2,

Shading_Data_(_Actual_data_),
R     ,G     ,B     ,
 32768, 32768, 31711,
 32262, 32262, 30275,
 29526, 31179, 30220,
 29842, 31413, 30275,
 32768, 32015, 30003,
 31005, 31591, 29896,
 28813, 30385, 29370,
 30003, 31531, 30275,
 32640, 31711, 29683,
 30440, 31591, 30111,
 29013, 30664, 29736,
 30057, 31413, 29949,
 32704, 31953, 30111,
 29896, 31179, 29949,
 29013, 30664, 29896,
 30890, 32015, 30385,
 32076, 31771, 29789,
 29526, 31063, 30003,
 29165, 30890, 30003,
 31472, 31893, 30057,
 31651, 31953, 30003,
 29216, 30777, 29896,
 29370, 30777, 29789,
 32015, 31832, 30111,
 30777, 31591, 29896,
 28913, 30720, 29949,
 29736, 31179, 30057,
 32200, 31591, 29683,
 30220, 31771, 30165,
 29064, 30948, 30385,
 30275, 31591, 30440,
 32513, 31832, 29949,
 29789, 31591, 30385,
 28863, 30664, 29896,
 30890, 32015, 30552,
 32450, 32015, 30275,
 29319, 31354, 30220,
 29013, 30833, 29949,
 31472, 31832, 30220,
 31832, 31953, 30220,
 28913, 30833, 29949,
 28863, 30833, 29842,
 31711, 31711, 30003,
 31005, 31771, 30057,
 28665, 30607, 29842,
 29165, 30948, 29842,
 31893, 31472, 29683,
 30057, 31413, 30057,
 28518, 30552, 30003,
 29474, 31120, 30003,
 32015, 31531, 29842,
 29683, 31295, 29949,
 28567, 30496, 29842,
 30275, 31651, 30165,
 31893, 31832, 30165,
 29165, 30890, 29949,
 28518, 30496, 29736,
 30607, 31771, 30165,
 31472, 32015, 30385,
 28913, 30720, 30003,
 28813, 30720, 30057,
 31063, 31651, 29949,
 30833, 31832, 30220,
 28616, 30664, 30057,
 28963, 30777, 30057,
 31472, 31531, 29736,
 30111, 31531, 29949,
 28470, 30496, 29736,
 29474, 31120, 30057,
 31832, 31531, 29896,
 29578, 31237, 29949,
 28665, 30777, 30111,
 30220, 31711, 30607,
 31893, 31711, 30003,
 29165, 31354, 30275,
 28616, 30833, 30275,
 30720, 31832, 30440,
 31771, 31771, 30165,
 29165, 31295, 30440,
 28813, 31120, 30440,
 31295, 31832, 30165,
 31179, 31893, 30165,
 28665, 30948, 30220,
 28863, 31005, 30111,
 31591, 31651, 29949,
 30607, 31893, 30607,
 28616, 30664, 30057,
 29578, 31472, 30552,
 32015, 31832, 30330,
 29949, 31771, 30552,
 28567, 30948, 30275,
 29842, 31832, 30664,
 32076, 32076, 30385,
 29949, 31893, 31063,
 28764, 30833, 30275,
 30330, 31953, 30777,
 31771, 31893, 30330,
 29370, 31295, 30385,
 28863, 31120, 30496,
 30890, 31953, 30607,
 31354, 31893, 30220,
 29114, 31295, 30777,
 29216, 31179, 30607,
 31472, 31953, 30496,
 30552, 31832, 30275,
 28764, 30948, 30330,
 29474, 31472, 30833,
 31893, 32076, 30607,
 30275, 31953, 30833,
 28714, 31063, 30664,
 29683, 31531, 30664,
 31953, 32015, 30607,
 29631, 31711, 30607,
 28714, 31005, 30496,
 30057, 31771, 30720,
 31893, 32015, 30552,
 29319, 31591, 30777,
 28518, 30948, 30330,
 30664, 32015, 30777,
