Printer_Setting_Log,

Log_file_name,PLOG0001.CSV,
Image_file_name,D:\DCIM\100_FUJI\DSCF0001.JPG,
MODEL,FI019,
Serial_number,3310117352,
Firmware_version,1.06,
Log_profile,1.00,
Print_Time,2024/10/19 09:36:41,
PH_Vendar,TP,
PH_Serial_No,4156A231160856,
PH_TYPE,ELPH_TYPE_PP2,
BrightnessFTNM_R,28,
BrightnessFTNM_G,31,
BrightnessFTNM_B,42,
BrightnessTPREF1NM_R,9,
BrightnessTPREF1NM_G,7,
BrightnessTPREF1NM_B,4,
BrightnessTPREF2NM_R,155,
BrightnessTPREF2NM_G,116,
BrightnessTPREF2NM_B,104,
BrightnessFT3D_R,28,
BrightnessFT3D_G,32,
BrightnessFT3D_B,42,
BrightnessTPREF13D_R,7,
BrightnessTPREF13D_G,5,
BrightnessTPREF13D_B,3,
BrightnessTPREF23D_R,151,
BrightnessTPREF23D_G,118,
BrightnessTPREF23D_B,113,
Exposure_R,500 nsec,
Exposure_G,500 nsec,
Exposure_B,500 nsec,
temperature,22.0,
3DLUT_enable,ON,
3DLUT_information,2021/07/01 ref3,
Double_density,OFF,
Print_Brightness,x1.0,
result,No Film PI,

Printer_Parameter_Log,
motor_duty:pri_usb,100,
motor_duty:rej_usb,100,
motor_duty:pri,100,
motor_duty:rej,100,
LNC_F_enable,1,
LNC_UH_centerPos,155,
LNC_UH_width_HI,30,
LNC_UH_width_LO,50,
LNC_UH_effectValue,250,250,250,
LNC_UH_referOffsetLine,4,
LNC_UH_referMovAveCnt,3,
LNC_UH_lastMovAveCnt,3,
LNC_UH_LoCutCoef,128,128,0,
LNC_SH_CorrLimMin,-2,
LNC_SH_CorrLimMax,2,
LNC_F_corrRvs,0,
LNC_F_halfEf,0,
LNC_UH_effectDelay,0,

Shading_Data_(_Adjust_Area_data_),
R     ,G     ,B     ,
 29842, 32387, 31893,
 29842, 32324, 31893,
 27899, 31771, 31953,
 28087, 31893, 32200,
 30003, 32324, 31893,
 29789, 32513, 32200,
 27946, 31771, 32076,
 28616, 32138, 32200,
 30220, 32387, 32076,
 29267, 32262, 32076,
 28040, 32015, 32387,
 28963, 32513, 32576,
 30165, 32324, 31953,
 28913, 32387, 32450,
 27946, 31893, 32262,
 29319, 32513, 32387,
 29631, 32076, 31651,
 28421, 32138, 32200,
 27899, 31832, 32138,
 29474, 32513, 32387,
 29631, 32387, 31832,
 28040, 31893, 32262,
 28040, 31953, 32324,
 29631, 32513, 32324,
 29526, 32576, 32324,
 28087, 32200, 32640,
 28567, 32387, 32768,
 29736, 32324, 32076,
 28913, 32324, 32262,
 27623, 31651, 32076,
 28373, 31953, 32076,
 29578, 32200, 31953,
 28421, 32200, 32324,
 27623, 31711, 32138,
 28764, 32015, 32076,
 29370, 31953, 31651,
 27993, 31893, 32015,
 27577, 31711, 32200,
 28963, 32015, 32138,
 29319, 32015, 31771,
 27899, 31953, 32262,
 27806, 31832, 32262,
 29370, 32450, 32387,
 29216, 32200, 32015,
 27760, 31893, 32387,
 27899, 31832, 32138,
 29370, 32015, 31771,
 29114, 32262, 32200,
 27623, 31832, 32324,
 28229, 32076, 32387,
 29526, 32076, 31893,
 28813, 32262, 32450,
 27714, 31893, 32513,
 28567, 32138, 32387,
 29422, 31893, 31711,
 28470, 32015, 32200,
 27577, 31711, 32138,
 28813, 32262, 32262,
 29474, 32200, 32015,
 28277, 32015, 32262,
 27714, 31771, 32200,
 29165, 32262, 32200,
 29267, 32262, 32138,
 27760, 31832, 32387,
 27853, 31953, 32576,
 29216, 32200, 32015,
 28963, 32076, 32015,
 27714, 31771, 32324,
 28277, 32138, 32704,
 29267, 32138, 32015,
 28714, 32324, 32450,
 27623, 31832, 32387,
 28373, 32076, 32513,
 29474, 32200, 32200,
 28518, 32262, 32387,
 27623, 31771, 32324,
 28813, 32324, 32704,
 29422, 32450, 32450,
 28040, 32015, 32387,
 27441, 31711, 32200,
 28863, 32200, 32262,
 29370, 32262, 32138,
 27853, 32015, 32640,
 27760, 31953, 32704,
 29267, 32262, 32324,
 29267, 32450, 32513,
 27532, 31651, 32324,
 27806, 31832, 32450,
 29165, 32200, 32200,
 28714, 31953, 32076,
 27441, 31591, 32138,
 27946, 31832, 32262,
 29165, 32076, 32138,
 28665, 32138, 32450,
 27441, 31711, 32324,
 28421, 32200, 32768,
 29013, 32076, 32015,
 28087, 31953, 32200,
 27351, 31591, 32262,
 28567, 31893, 32200,
 28963, 31832, 31953,
 28087, 31893, 32450,
 27532, 31651, 32262,
 28714, 31893, 32015,
 28665, 31771, 31771,
 27262, 31354, 32076,
 27396, 31354, 32138,
 28714, 31893, 31953,
 28665, 31893, 31893,
 27532, 31651, 32450,
 27899, 31531, 32138,
 29013, 31893, 31893,
 28373, 31832, 32015,
 27351, 31413, 32200,
 28134, 31771, 32513,
 28863, 31591, 31711,
 28040, 31651, 32076,
 27351, 31472, 32138,
 28325, 31531, 31893,
 28665, 31472, 31472,
 27714, 31531, 32015,
 27173, 31295, 32015,
 28518, 31651, 32015,
 28863, 31771, 32015,
 27441, 31413, 32138,
 27307, 31179, 32076,
 28325, 31179, 31472,
 28182, 31063, 31295,
 26868, 30777, 31472,
 27129, 30833, 31531,
 28182, 31005, 31295,
 28040, 31295, 31832,
 26868, 31005, 31711,
 27441, 31063, 31711,
 28229, 31063, 31179,
 27853, 31120, 31591,
 26998, 31063, 31771,
 27899, 31413, 31953,
 28373, 31179, 31354,
 27760, 31295, 31893,
 27042, 31005, 31893,
 28040, 31063, 31472,
 28277, 31063, 31354,
 27351, 31005, 31832,
 26998, 30833, 31651,
 27946, 30777, 30890,
 28182, 31063, 31354,
 27085, 30833, 31591,
 27173, 30890, 31771,
 28277, 31179, 31472,
 28040, 31295, 31591,
 26782, 30607, 31295,
 27441, 31005, 31771,
 28277, 31063, 31354,
 27853, 31179, 31711,
 26954, 30948, 31832,
 27899, 31237, 31953,
 28182, 31063, 31295,
 27486, 30948, 31591,
 26696, 30552, 31295,
 27806, 30948, 31591,
 28040, 30890, 31179,
 27129, 30890, 31591,
 26782, 30552, 31413,
 27806, 30777, 31120,
 27899, 30833, 31063,
 26739, 30385, 31120,
 26782, 30552, 31354,
 27806, 30664, 30948,
 27806, 30664, 30948,
 26653, 30607, 31472,
 27129, 30607, 31531,
 28040, 30664, 31005,
 27946, 30948, 31472,
 26825, 30607, 31472,
 27441, 30777, 31531,
 27993, 30664, 30833,
 27532, 30777, 31472,
 26696, 30440, 31295,
 27396, 30385, 31005,
 27899, 30552, 30890,
 27129, 30440, 31179,
 26526, 30275, 31120,
 27577, 30385, 30720,
 27714, 30330, 30496,
 26998, 30330, 31120,
 26868, 30385, 31295,
 27853, 30664, 30948,
 27806, 30552, 30664,
 26739, 30330, 31179,
 26998, 30330, 31005,
 27760, 30385, 30607,
 27668, 30607, 31063,
 26739, 30440, 31179,
 27307, 30385, 31120,
 27714, 30440, 30720,
 27262, 30385, 31063,
 26443, 30003, 30720,
 27441, 30330, 31063,
 27668, 30275, 30607,
 26998, 30003, 30777,
 26526, 30003, 30833,
 27760, 30440, 31120,
 27946, 30385, 30664,
 26911, 30275, 31237,
 26696, 30003, 31005,
 27853, 30385, 30890,
 27899, 30275, 30833,
 26611, 29842, 30833,
 26911, 30220, 31354,
 27760, 30165, 30607,
 27760, 30220, 30833,
 26653, 30111, 31063,
 27129, 30220, 31120,
 27899, 30275, 30777,
 27577, 30275, 31063,
 26653, 30111, 31295,
 27307, 30111, 31120,
 27760, 30165, 30720,
 27218, 30111, 31063,
 26653, 30111, 31354,
 27486, 30057, 30890,
 27899, 30385, 30948,
 26954, 29949, 31005,
 26359, 29526, 30777,
 27307, 29736, 30552,
 27532, 29896, 30552,
 26739, 29789, 31179,
 26653, 29683, 31063,
 27532, 29842, 30552,
 27441, 29842, 30496,
 26526, 29683, 31063,
 26825, 29631, 30890,
 27577, 29789, 30607,
 27218, 29842, 30720,
 26443, 29683, 30948,
 27085, 29578, 30720,
 27577, 29842, 30607,
 27085, 29736, 30833,
 26569, 29736, 31005,
 27351, 29896, 31005,
 27668, 30003, 30833,
 26782, 29683, 30890,
 26401, 29474, 30777,
 27173, 29526, 30440,
 27262, 29526, 30275,
 26484, 29422, 30720,
 26484, 29474, 30890,
 27441, 29683, 30720,
 27532, 29842, 30720,
 26484, 29526, 30948,
 26825, 29736, 31179,
 27532, 29683, 30552,
 27486, 29896, 31005,
 26653, 29896, 31413,
 27218, 29896, 31237,
 27486, 29789, 30664,
 27085, 29631, 30948,
 26611, 29842, 31354,
 27351, 29949, 31237,
 27623, 29842, 30720,
 27307, 29949, 31472,
 26825, 29949, 31651,
 27760, 30165, 31295,
 27760, 30003, 31005,
 26954, 29896, 31413,
 26825, 29683, 31472,
 27853, 30220, 31354,
 27714, 30220, 31354,
 26911, 29896, 31531,
 27262, 29949, 31651,
 27853, 30003, 31237,
 27760, 30275, 31651,
 26696, 29789, 31472,
 27396, 30003, 31651,
 29526, 32576, 32640,

Print_Gamma_Table_Log,

Gamma_Table,
   R,   G,   B,
   0,   0,   0,
   1,   1,   1,
   2,   1,   1,
   3,   2,   2,
   3,   3,   3,
   4,   3,   3,
   5,   4,   4,
   6,   5,   5,
   7,   5,   6,
   8,   6,   6,
   9,   7,   7,
  10,   7,   8,
  10,   8,   8,
  11,   9,   9,
  12,   9,  10,
  13,  10,  10,
  14,  11,  11,
  15,  11,  12,
  16,  12,  12,
  17,  13,  13,
  17,  14,  14,
  18,  14,  15,
  19,  15,  15,
  20,  16,  16,
  21,  16,  17,
  22,  17,  17,
  22,  18,  18,
  23,  18,  19,
  24,  19,  19,
  25,  20,  20,
  26,  21,  21,
  27,  22,  22,
  28,  23,  23,
  29,  24,  24,
  30,  25,  25,
  31,  26,  26,
  32,  26,  26,
  33,  26,  27,
  34,  27,  27,
  35,  27,  28,
  36,  27,  28,
  36,  28,  28,
  37,  28,  29,
  37,  29,  29,
  38,  30,  29,
  38,  30,  30,
  39,  31,  30,
  40,  32,  30,
  40,  32,  31,
  41,  33,  32,
  42,  33,  32,
  43,  34,  33,
  44,  35,  33,
  45,  35,  33,
  45,  35,  34,
  45,  36,  35,
  46,  37,  35,
  47,  37,  36,
  48,  38,  37,
  49,  39,  37,
  50,  40,  38,
  51,  41,  39,
  52,  42,  40,
  53,  42,  41,
  54,  43,  41,
  55,  43,  42,
  56,  44,  42,
  57,  44,  43,
  58,  45,  44,
  59,  46,  44,
  60,  47,  44,
  61,  48,  45,
  62,  49,  46,
  63,  50,  47,
  64,  50,  47,
  65,  51,  47,
  66,  52,  48,
  66,  53,  49,
  67,  54,  50,
  67,  55,  50,
  68,  55,  50,
  68,  55,  51,
  69,  55,  51,
  69,  56,  52,
  70,  56,  53,
  71,  56,  54,
  71,  57,  54,
  71,  57,  54,
  72,  58,  54,
  73,  59,  55,
  74,  60,  55,
  75,  61,  56,
  76,  62,  56,
  77,  63,  57,
  78,  64,  58,
  80,  64,  59,
  81,  65,  60,
  82,  66,  60,
  83,  67,  61,
  84,  68,  62,
  85,  69,  62,
  86,  70,  63,
  87,  72,  64,
  88,  73,  65,
  89,  75,  65,
  90,  76,  66,
  91,  78,  67,
  92,  80,  68,
  93,  82,  69,
  94,  83,  70,
  95,  85,  71,
  97,  86,  71,
  98,  87,  71,
  99,  88,  72,
 100,  89,  72,
 101,  90,  73,
 102,  91,  73,
 103,  92,  74,
 104,  92,  75,
 105,  92,  75,
 106,  93,  75,
 107,  94,  76,
 108,  95,  77,
 109,  96,  78,
 110,  97,  79,
 111,  98,  79,
 111,  99,  80,
 111, 101,  80,
 111, 102,  81,
 112, 103,  82,
 112, 104,  83,
 113, 105,  83,
 113, 105,  84,
 113, 106,  85,
 114, 106,  85,
 114, 106,  86,
 114, 106,  87,
 115, 106,  88,
 116, 107,  89,
 117, 108,  90,
 118, 108,  90,
 119, 108,  90,
 120, 109,  90,
 122, 110,  90,
 124, 110,  90,
 126, 111,  91,
 127, 111,  92,
 128, 112,  92,
 129, 113,  93,
 130, 114,  93,
 131, 115,  94,
 132, 115,  95,
 133, 116,  96,
 134, 117,  98,
 135, 118, 100,
 136, 119, 102,
 138, 121, 104,
 139, 122, 107,
 140, 123, 110,
 142, 124, 114,
 143, 126, 117,
 144, 127, 120,
 146, 128, 122,
 148, 130, 123,
 150, 131, 124,
 152, 132, 125,
 154, 133, 127,
 156, 134, 128,
 158, 136, 131,
 160, 138, 134,
 162, 140, 137,
 164, 142, 140,
 166, 144, 143,
 168, 146, 146,
 170, 148, 149,
 172, 150, 152,
 174, 152, 156,
 176, 154, 160,
 178, 156, 163,
 180, 158, 166,
 182, 160, 169,
 184, 162, 172,
 185, 164, 175,
 186, 166, 178,
 188, 168, 181,
 189, 170, 184,
 191, 173, 187,
 194, 176, 190,
 196, 178, 193,
 198, 181, 196,
 200, 183, 199,
 202, 185, 201,
 204, 188, 203,
 206, 190, 204,
 209, 192, 206,
 212, 194, 208,
 215, 197, 210,
 218, 199, 212,
 221, 202, 215,
 224, 205, 217,
 226, 207, 219,
 227, 209, 221,
 228, 211, 223,
 229, 213, 226,
 232, 215, 229,
 233, 217, 232,
 235, 219, 236,
 237, 221, 239,
 238, 224, 242,
 240, 228, 245,
 241, 231, 247,
 244, 235, 249,
 246, 238, 251,
 248, 241, 253,
 250, 244, 256,
 252, 247, 258,
 255, 250, 260,
 258, 253, 262,
 263, 256, 264,
 266, 259, 267,
 270, 262, 269,
 273, 265, 271,
 277, 267, 273,
 281, 269, 275,
 284, 272, 276,
 288, 275, 278,
 292, 278, 279,
 296, 281, 280,
 300, 284, 281,
 304, 286, 283,
 307, 288, 284,
 311, 290, 285,
 314, 293, 286,
 317, 296, 288,
 320, 299, 290,
 324, 303, 292,
 327, 307, 294,
 330, 311, 297,
 333, 315, 299,
 336, 320, 302,
 341, 326, 306,
 347, 333, 311,
 353, 341, 317,
 360, 347, 323,
 366, 355, 329,
 373, 362, 335,
 380, 371, 341,
 387, 380, 347,
 394, 389, 354,
 402, 398, 360,
 409, 406, 366,
 417, 415, 372,
 424, 424, 379,
 431, 434, 386,
 438, 448, 393,
 445, 467, 400,


